doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,225.0000,20081920,49472.78,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,300.0000,20081920,140926.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,225.0000,20081920,150356.25,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,250.0000,20081930,67369.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,150.0000,20081920,31281.53,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,400.0000,20081920,183387.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 200 g,200.0000,20081920,131392.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/507,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,300.0000,20081930,77457.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {507} [Not Final].pdf,1
INV,CND/26-27/508,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Dried Cranberry 100gm,36.0000,20089300,22428.25,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {508} [Not Final].pdf,1
INV,CND/26-27/508,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Dried Blueberry 100gm,36.0000,20060000,52964.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {508} [Not Final].pdf,1
INV,CND/26-27/509,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Breakfast Mix 100g (100005226),25.0000,20081990,17500.73,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {509} [Not Final].pdf,1
