sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0103,Chilean Walnut Kernel Quarter caramel · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chilean walnut kernel quarter caramel,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Chilean Walnut Kernel Quarter caramel,Chilean Walnut Kernel Quarter
SFG0104,Chilean Walnut Kernel Quarter lemon pepper · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chilean walnut kernel quarter lemon pepper,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Chilean Walnut Kernel Quarter lemon pepper,Chilean Walnut Kernel Quarter
SFG0105,Chilean Walnut Kernel Quarter pepper · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chilean walnut kernel quarter pepper,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Chilean Walnut Kernel Quarter pepper,Chilean Walnut Kernel Quarter
SFG0106,Chilean Walnut Kernel Quarter peri peri · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chilean walnut kernel quarter peri peri,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Chilean Walnut Kernel Quarter peri peri,Chilean Walnut Kernel Quarter
SFG0107,Chilli Garlic Masala Seasoning · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chilli garlic masala seasoning,N,,Y,sfg,kg,wip,FIFO,,45,1,Chilli Garlic Masala Seasoning,
SFG0108,Chipotle Honey Coated Peanuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chipotle honey coated peanuts,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,2,Chipotle Honey Coated Peanuts 200g; Chipotle Honey Coated Peanuts 70gm,
SFG0109,Choco Crunch Energy Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,choco crunch energy bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Choco Crunch Energy Bar 38gm,
SFG0110,Chocolate Coated Almond Dragees · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,chocolate coated almond dragees,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,15,1,Chocolate Coated Almond Dragees 50gm,
SFG0111,Chocolate Coated Blueberries Dragees · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,chocolate coated blueberries dragees,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,15,1,Chocolate Coated Blueberries Dragees 50gm,
SFG0112,Classic Flavour Date Mewa · WIP · BlendForm,DERIVED_INLINE,Blend & Form,classic flavour date mewa,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Classic Flavour Date Mewa 18gm,
SFG0113,Coated Peanuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,coated peanuts,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Coated Peanuts,Barbeque Coated Peanuts Bulk
SFG0114,Coated Peanuts - Magic Masala · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,coated peanuts - magic masala,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Coated Peanuts - Magic Masala 1Kg,
SFG0115,Cocktail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cocktail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Cocktail Mix; Cocktail Mix 230g,
SFG0116,Cocoa Peanut Date Balls · WIP · BlendForm,DERIVED_INLINE,Blend & Form,cocoa peanut date balls,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Cocoa Peanut Date Balls 48 gms,
SFG0117,Coconut Laddubar Mini · WIP · BlendForm,DERIVED_INLINE,Blend & Form,coconut laddubar mini,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Coconut Laddubar Mini 9g,
SFG0118,Coffee Laddoo · WIP · BlendForm,DERIVED_INLINE,Blend & Form,coffee laddoo,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Coffee Laddoo 18gm,
SFG0119,Coffee Laddoo Semi Finished · WIP · BlendForm,DERIVED_INLINE,Blend & Form,coffee laddoo semi finished,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Coffee Laddoo Semi Finished,
SFG0120,Cranberry Date Balls · WIP · BlendForm,DERIVED_INLINE,Blend & Form,cranberry date balls,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Cranberry Date Balls 48 gms,
