fg_sample,base_recipe,create_wip_operation,sfg_origin,sfg_code,sfg_article,num_fgs
Carnival Simply Thandai Mix 200gm,Carnival Simply Thandai Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0091,Carnival Simply Thandai Mix · WIP · RoastFlav,1
Carnival Smoked Almonds 100gm,Carnival Smoked Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0092,Carnival Smoked Almonds · WIP · RoastFlav,1
Cashew Jumbo with Skin Roasted and Salted,Cashew Jumbo with Skin Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0093,Cashew Jumbo with Skin Roasted and Salted · WIP · RoastFlav,1
Cashew Masala,Cashew Masala,Roast & Flavour/Salt,DERIVED_INLINE,SFG0094,Cashew Masala · WIP · RoastFlav,1
Cashew Pink salt,Cashew Pink salt,Roast & Flavour/Salt,DERIVED_INLINE,SFG0095,Cashew Pink salt · WIP · RoastFlav,1
CCD Energy Bar with Jaggery,CCD Energy Bar with Jaggery,Blend & Form,DERIVED_INLINE,SFG0096,CCD Energy Bar with Jaggery · WIP · BlendForm,1
Chatpata Black Raisin,Chatpata Black Raisin,Roast & Flavour/Salt,DERIVED_INLINE,SFG0097,Chatpata Black Raisin · WIP · RoastFlav,1
Chatpata Seasoning,Chatpata Seasoning,Roast & Flavour/Salt,DERIVED_INLINE,SFG0098,Chatpata Seasoning · WIP · RoastFlav,1
CHATPATA SNACK MIX,CHATPATA SNACK MIX,Roast & Flavour/Salt,DERIVED_INLINE,SFG0099,CHATPATA SNACK MIX · WIP · RoastFlav,1
Cheese Cashew,Cheese Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0100,Cheese Cashew · WIP · RoastFlav,1
Cheese Makhana,Cheese Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0101,Cheese Makhana · WIP · RoastFlav,1
Chilean Walnut Kernel Quarter BBQ,Chilean Walnut Kernel Quarter BBQ,Roast & Flavour/Salt,DERIVED_INLINE,SFG0102,Chilean Walnut Kernel Quarter BBQ · WIP · RoastFlav,1
Chilean Walnut Kernel Quarter caramel,Chilean Walnut Kernel Quarter caramel,Roast & Flavour/Salt,DERIVED_INLINE,SFG0103,Chilean Walnut Kernel Quarter caramel · WIP · RoastFlav,1
Chilean Walnut Kernel Quarter lemon pepper,Chilean Walnut Kernel Quarter lemon pepper,Roast & Flavour/Salt,DERIVED_INLINE,SFG0104,Chilean Walnut Kernel Quarter lemon pepper · WIP · RoastFlav,1
Chilean Walnut Kernel Quarter pepper,Chilean Walnut Kernel Quarter pepper,Roast & Flavour/Salt,DERIVED_INLINE,SFG0105,Chilean Walnut Kernel Quarter pepper · WIP · RoastFlav,1
Chilean Walnut Kernel Quarter peri peri,Chilean Walnut Kernel Quarter peri peri,Roast & Flavour/Salt,DERIVED_INLINE,SFG0106,Chilean Walnut Kernel Quarter peri peri · WIP · RoastFlav,1
Chilli Garlic Masala Seasoning,Chilli Garlic Masala Seasoning,Roast & Flavour/Salt,DERIVED_INLINE,SFG0107,Chilli Garlic Masala Seasoning · WIP · RoastFlav,1
Chipotle Honey Coated Peanuts 200g / Chipotle Honey Coated Peanuts 70gm,Chipotle Honey Coated Peanuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0108,Chipotle Honey Coated Peanuts · WIP · RoastFlav,2
Choco Crunch Energy Bar 38gm,Choco Crunch Energy Bar,Blend & Form,DERIVED_INLINE,SFG0109,Choco Crunch Energy Bar · WIP · BlendForm,1
Chocolate Coated Almond Dragees 50gm,Chocolate Coated Almond Dragees,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0110,Chocolate Coated Almond Dragees · WIP · Roast+Enrobe,1
Chocolate Coated Blueberries Dragees 50gm,Chocolate Coated Blueberries Dragees,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0111,Chocolate Coated Blueberries Dragees · WIP · Roast+Enrobe,1
Classic Flavour Date Mewa 18gm,Classic Flavour Date Mewa,Blend & Form,DERIVED_INLINE,SFG0112,Classic Flavour Date Mewa · WIP · BlendForm,1
Coated Peanuts,Coated Peanuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0113,Coated Peanuts · WIP · RoastFlav,1
Coated Peanuts - Magic Masala 1Kg,Coated Peanuts - Magic Masala,Roast & Flavour/Salt,DERIVED_INLINE,SFG0114,Coated Peanuts - Magic Masala · WIP · RoastFlav,1
Cocktail Mix / Cocktail Mix 230g,Cocktail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0115,Cocktail Mix · WIP · RoastFlav,2
Cocoa Peanut Date Balls 48 gms,Cocoa Peanut Date Balls,Blend & Form,DERIVED_INLINE,SFG0116,Cocoa Peanut Date Balls · WIP · BlendForm,1
Coconut Laddubar Mini 9g,Coconut Laddubar Mini,Blend & Form,DERIVED_INLINE,SFG0117,Coconut Laddubar Mini · WIP · BlendForm,1
Coffee Laddoo 18gm,Coffee Laddoo,Blend & Form,DERIVED_INLINE,SFG0118,Coffee Laddoo · WIP · BlendForm,1
Coffee Laddoo Semi Finished,Coffee Laddoo Semi Finished,Blend & Form,DERIVED_INLINE,SFG0119,Coffee Laddoo Semi Finished · WIP · BlendForm,1
Cranberry Date Balls 48 gms,Cranberry Date Balls,Blend & Form,DERIVED_INLINE,SFG0120,Cranberry Date Balls · WIP · BlendForm,1
Crunchy Caramel Trail Mix / Crunchy Caramel Trail Mix 230g,Crunchy Caramel Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0121,Crunchy Caramel Trail Mix · WIP · RoastFlav,2
CURATE DATE BITES IND 210G,CURATE DATE BITES IND,Blend & Form,DERIVED_INLINE,SFG0122,CURATE DATE BITES IND · WIP · BlendForm,1
CURATE DATE BITES ROSE IND 210G / CURATE DATE BITES ROSE IND 360G,CURATE DATE BITES ROSE IND,Blend & Form,DERIVED_INLINE,SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,2
Curate Pista Pishori 200g,Curate Pista Pishori,Roast & Flavour/Salt,DERIVED_INLINE,SFG0124,Curate Pista Pishori · WIP · RoastFlav,1
Curate Roasted Hazelnuts 200g / Curate Roasted Hazelnuts 550g Jr,Curate Roasted Hazelnuts,Roasting,DERIVED_INLINE,SFG0125,Curate Roasted Hazelnuts · WIP · Roast,2
Daily Mewa Healthy Mix,Daily Mewa Healthy Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0126,Daily Mewa Healthy Mix · WIP · RoastFlav,1
Dark Almond Draggies,Dark Almond Draggies,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0127,Dark Almond Draggies · WIP · Roast+Enrobe,1
Dark Chocolate Coated Almond Stuffed Khalas Single,Dark Chocolate Coated Almond Stuffed Khalas Single,De-Seeding + Stuffing + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0128,Dark Chocolate Coated Almond Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,1
Dark Chocolate Coated Cashew Stuffed Khalas Single,Dark Chocolate Coated Cashew Stuffed Khalas Single,De-Seeding + Stuffing + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0129,Dark Chocolate Coated Cashew Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,1
Dark Chocolate Coated Macadamia 110g,Dark Chocolate Coated Macadamia,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0130,Dark Chocolate Coated Macadamia · WIP · Roast+Enrobe,1
Date Balls Coated Coconut (22G X 3),Date Balls Coated Coconut,Blend & Form,DERIVED_INLINE,SFG0131,Date Balls Coated Coconut · WIP · BlendForm,1
Date Balls Coated Dark (22g x 3),Date Balls Coated Dark,Blend & Form,DERIVED_INLINE,SFG0132,Date Balls Coated Dark · WIP · BlendForm,1
Date Balls Coated Milk (22g x 3),Date Balls Coated Milk,Blend & Form,DERIVED_INLINE,SFG0133,Date Balls Coated Milk · WIP · BlendForm,1
Date Balls Coated White (22g x 3),Date Balls Coated White,Blend & Form,DERIVED_INLINE,SFG0134,Date Balls Coated White · WIP · BlendForm,1
3pcs date balls with blister,3pcs date balls with blister,Blend & Form,DERIVED_INLINE,SFG0135,3pcs date balls with blister · WIP · BlendForm,1
Date Bites 9gm,Date Bites,Blend & Form,DERIVED_INLINE,SFG0136,Date Bites · WIP · BlendForm,1
Date Mewa Festive Gifting & Feast Parcel 500gm,Date Mewa Festive Gifting & Feast Parcel,Blend & Form,DERIVED_INLINE,SFG0137,Date Mewa Festive Gifting & Feast Parcel · WIP · BlendForm,1
Date Mewa Ladu 18gm,Date Mewa Ladu,Blend & Form,DERIVED_INLINE,SFG0138,Date Mewa Ladu · WIP · BlendForm,1
Dates Delight Khajur Pak 375gm,Dates Delight Khajur Pak,Blend & Form,DERIVED_INLINE,SFG0139,Dates Delight Khajur Pak · WIP · BlendForm,1
Dates Mewa Assorted 210gm,Dates Mewa Assorted,Blend & Form,DERIVED_INLINE,SFG0140,Dates Mewa Assorted · WIP · BlendForm,1
Dates Mewa Classic 210gm,Dates Mewa Classic,Blend & Form,DERIVED_INLINE,SFG0141,Dates Mewa Classic · WIP · BlendForm,1
Diced Almond,Diced Almond,Blanch & Slice,DERIVED_INLINE,SFG0142,Diced Almond · WIP · BlanchSlice,1
Dr Batra#s Hair Health Protein Bar 35gm,Dr Batra#s Hair Health Protein Bar,Blend & Form,DERIVED_INLINE,SFG0143,Dr Batra#s Hair Health Protein Bar · WIP · BlendForm,1
Dragees Dark Cranberry,Dragees Dark Cranberry,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0144,Dragees Dark Cranberry · WIP · Roast+Enrobe,1
Dragees Milk Cranberry,Dragees Milk Cranberry,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0145,Dragees Milk Cranberry · WIP · Roast+Enrobe,1
Dragees White Cranberry,Dragees White Cranberry,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0146,Dragees White Cranberry · WIP · Roast+Enrobe,1
