article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
Almond Selected 230g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Almond Sliced,rm,Y,Y,Y,Y,rm,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
Almonds Halves Loose,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Almonds Kernel Cube Cut,rm,Y,Y,,Y,rm,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,routed,,Y,
Aloevra Extract,rm,,,Y,Y,rm,cfpl,,n/a,,,
Alpino Peanut Crackers Chipotle Honey 60g,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Alpino Peanut Crackers Smokey BBQ 60g,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Amarath Puff,rm,,,Y,Y,rm,cfpl,,n/a,,,
Amarath Puff  - 5%,rm,,,,Y,rm,cfpl,,n/a,,,
Amary Dates,rm,,,Y,Y,rm,cfpl,,n/a,,,
Amary Dates 250g (1356293),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Amazon Brand - Vedaka California Almonds 200gm,fg?,,Y,,,,,,"MISSING (has BOM recipe, not in FG Master)",,,ARTICLE_NOT_IN_CATALOG; BOM_PARENT_NO_ROUTING
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Amazon Brand- Vedaka Dry Dates powder 200g,fg,Y,Y,,Y,fg,cfpl,Packaging,routed,,,
Ameri Dates,rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almond Double Tonch,rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds ( 18-20 Count),rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds (22-23 Count),rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds (23-25 Count),rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
American Almonds (24-25 Count),rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
American Almonds (Caramel) Tounch,rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds Dagi,rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds Kernal Sanora,rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds Kernel 20-22 count,rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds Kernel 30-32 count,rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds Kernel 32-34 count,rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds Pin Tonch,rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds Premium,rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds Running 25-27 count,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
American Almonds Running [28-30 Count],rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds Special,rm,,,,Y,rm,cfpl,,n/a,,,
American Almonds Tonch,rm,,,Y,Y,rm,cfpl,,n/a,,,
American Almonds Tukda,rm,Y,Y,Y,Y,rm,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
American Pecan 50gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Amul Butter,rm,,,Y,Y,rm,cfpl,,n/a,,,
Anardana Churan,rm,,,Y,Y,rm,cfpl,,n/a,,,
Anardana Powder,rm,,,Y,Y,rm,cfpl,,n/a,,,
Anjeer (Figs),rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Anjeer 1*1,rm,,,Y,Y,rm,cfpl,,n/a,,,
Anjeer 1*2,rm,,,Y,Y,rm,cfpl,,n/a,,,
Anjeer 1*2 75gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Anjeer Chutta,rm,,,Y,Y,rm,cfpl,,n/a,,,
Anjeer Selected,rm,,,Y,Y,rm,cfpl,,n/a,,,
Antioxidant Mix 33gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Antioxidant Mix 35gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Apollo Life Arabian Dates 500g,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Apricot Kernel,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Ar Barakah Fard Dates 1kg,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Ashwagandha Powder,rm,,,Y,Y,rm,cfpl,,n/a,,,
AUSTRALIA MACADAMIA HONEY ROAST 100G PCH,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
AUSTRALIA MCADAMIA DARKCHOCOLTE 100G PCH,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
AUSTRALIA MCDAMIA MILKCHOCOLATE 100G PCH,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
AUSTRALIAN ALMOND INSHELL,rm,,,,Y,rm,cfpl,,n/a,,,
