sfg_code,particulars,item_type,item_group,uom,sale_group,gst,batch_strategy,create_wip_operation,sfg_origin,already_in_all_sku,needs_cataloguing,possible_existing_match
SFG0116,Cocoa Peanut Date Balls · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0117,Coconut Laddubar Mini · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0118,Coffee Laddoo · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0119,Coffee Laddoo Semi Finished · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0120,Cranberry Date Balls · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0121,Crunchy Caramel Trail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0122,CURATE DATE BITES IND · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0124,Curate Pista Pishori · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0125,Curate Roasted Hazelnuts · WIP · Roast,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0126,Daily Mewa Healthy Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0127,Dark Almond Draggies · WIP · Roast+Enrobe,sfg,ALMOND,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0128,Dark Chocolate Coated Almond Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,sfg,BARS & CEREALS,kg,wip,,FIFO,De-Seeding + Stuffing + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0129,Dark Chocolate Coated Cashew Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,sfg,BARS & CEREALS,kg,wip,,FIFO,De-Seeding + Stuffing + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0130,Dark Chocolate Coated Macadamia · WIP · Roast+Enrobe,sfg,BARS & CEREALS,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0131,Date Balls Coated Coconut · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0132,Date Balls Coated Dark · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0133,Date Balls Coated Milk · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0134,Date Balls Coated White · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0135,3pcs date balls with blister · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0136,Date Bites · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0137,Date Mewa Festive Gifting & Feast Parcel · WIP · BlendForm,sfg,FESTIVE HAMPERS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0138,Date Mewa Ladu · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0139,Dates Delight Khajur Pak · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0140,Dates Mewa Assorted · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0141,Dates Mewa Classic · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0142,Diced Almond · WIP · BlanchSlice,sfg,,kg,wip,,FIFO,Blanch & Slice,DERIVED_INLINE,N,Y,
SFG0143,Dr Batra#s Hair Health Protein Bar · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0144,Dragees Dark Cranberry · WIP · Roast+Enrobe,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0145,Dragees Milk Cranberry · WIP · Roast+Enrobe,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0146,Dragees White Cranberry · WIP · Roast+Enrobe,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
