article,entity,raw_process_category,cycle_archetype,stage_seq,stage_bucket,stage_label,create_wip_operation,input_code,input_kind,output_code,output_kind
Premium Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0244,SFG
Premium Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0244,SFG,FG,FG
Prunes 1KG (B07GR24VN1),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Prunes 200G (B07GQWRZKN),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Prunes 500G (B07GQZSS53),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Pudina Cashew,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0245,SFG
Pudina Cashew,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0245,SFG,FG,FG
Pudina Makhana,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0246,SFG
Pudina Makhana,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0246,SFG,FG,FG
Pumpkin Seeds 500G (B07GQWST7Y) FBA,cfpl,Sorting + Roasting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Pumpkin Seeds Roasted,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0247,SFG
Pumpkin Seeds Roasted,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0247,SFG,FG,FG
Pumpkin Seeds Roasted and Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0248,SFG
Pumpkin Seeds Roasted and Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0248,SFG,FG,FG
ROYAL TRADITIONS SHUBHKAMNA-300G (14179),cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
ROYAL TRADITON SNACK MASALA MIX 100G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0276,SFG
ROYAL TRADITON SNACK MASALA MIX 100G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0276,SFG,FG,FG
ROYAL TRADITON SNACK MIX CHATPATA-100G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0277,SFG
ROYAL TRADITON SNACK MIX CHATPATA-100G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0277,SFG,FG,FG
Raisins 200G (B07GRBFFMR) FBA,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Red Dates Seedless 500 Gm,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0249,SFG
Red Dates Seedless 500 Gm,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0249,SFG,FG,FG
Rhine Valley Almond & Coffee Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0250,SFG
Rhine Valley Almond & Coffee Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0250,SFG,FG,FG
Rhine Valley Almond & Cranberry Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0251,SFG
Rhine Valley Almond & Cranberry Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0251,SFG,FG,FG
Rhine Valley Almond & Orange Dark Chocolate Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0252,SFG
Rhine Valley Almond & Orange Dark Chocolate Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0252,SFG,FG,FG
Rhine Valley Barbeque Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0253,SFG
Rhine Valley Barbeque Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0253,SFG,FG,FG
Rhine Valley Black Pepper Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0254,SFG
Rhine Valley Black Pepper Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0254,SFG,FG,FG
Rhine Valley Fruit & Nut Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0255,SFG
Rhine Valley Fruit & Nut Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0255,SFG,FG,FG
Rhine Valley Himalayan Pink Salt Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0256,SFG
Rhine Valley Himalayan Pink Salt Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0256,SFG,FG,FG
Rhine Valley Masala Trail mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0257,SFG
Rhine Valley Masala Trail mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0257,SFG,FG,FG
Rhine Valley Peri Peri Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0258,SFG
Rhine Valley Peri Peri Trail Mix 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0258,SFG,FG,FG
"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar 50gm",cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0259,SFG
"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar 50gm",cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0259,SFG,FG,FG
Rhine Valley Rose & Pistachio Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0260,SFG
Rhine Valley Rose & Pistachio Date Bar 50gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0260,SFG,FG,FG
Roasted & Salted Almonds,cfpl,Flavouring (Bulk Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0261,SFG,FG,FG
Roasted & Salted Almonds 140g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0261,SFG,FG,FG
Roasted & Salted Almonds 75g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0261,SFG,FG,FG
Roasted & Salted Almonds 90g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0261,SFG,FG,FG
Roasted & Salted Almonds Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Roasted & Salted Cashew,cfpl,Flavouring + Roasting +Bulk Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Roasted & Salted Cashew  140g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Roasted & Salted Cashew 75gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Roasted & Salted Cashew 90gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Roasted & Salted Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0262,SFG
Roasted & Salted Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0262,SFG,FG,FG
Roasted & Salted Pecan Nuts 75gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0263,SFG
Roasted & Salted Pecan Nuts 75gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0263,SFG,FG,FG
Roasted & Salted Pista 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0264,SFG
Roasted & Salted Pista 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0264,SFG,FG,FG
Roasted Black Sesame (Kale Til) Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0265,SFG
Roasted Black Sesame (Kale Til) Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0265,SFG,FG,FG
Roasted Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Roasted Flax Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0266,SFG
Roasted Flax Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0266,SFG,FG,FG
Roasted Independence Almonds Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Roasted Makhana,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0267,SFG
Roasted Makhana,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0267,SFG,FG,FG
Roasted Peanuts,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0268,SFG
Roasted Peanuts,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0268,SFG,FG,FG
Roasted Peanuts Split,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0269,SFG
Roasted Peanuts Split,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0269,SFG,FG,FG
Roasted Poppy Seed,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0270,SFG
Roasted Poppy Seed,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0270,SFG,FG,FG
Roasted Salted Flax Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0271,SFG
Roasted Salted Flax Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0271,SFG,FG,FG
Roasted White Sesame (Safed Til) Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0272,SFG
Roasted White Sesame (Safed Til) Seeds,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0272,SFG,FG,FG
Royal Delight Ajwa Dates 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Arabian Dates 200gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Arabian Dates 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Arabian Dates 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Assorted Dates 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Dates Ajwa 800g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Dates Medjool Medium 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Kimia Dates 1kg,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Kimia Dates 350gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Mabroom Dates 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Medjool Dates 800g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Medjoul Dates 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Oman Dates 1 Kgs,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Oman Dates 400 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Safavi Dates 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Safavi Dates 5kg,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Delight Stuff Medjoul Dates 21 Pcs,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,De-Seeding + Stuffing,RM,RM,SFG0273,SFG
Royal Delight Stuff Medjoul Dates 21 Pcs,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0273,SFG,FG,FG
Royal Delight Stuffed Medjoul Dates 12 Pcs,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,De-Seeding + Stuffing,RM,RM,SFG0274,SFG
Royal Delight Stuffed Medjoul Dates 12 Pcs,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0274,SFG,FG,FG
Royal Delight Stuffed Medjul Large Dates 12 Pieces,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,De-Seeding + Stuffing,RM,RM,SFG0275,SFG
Royal Delight Stuffed Medjul Large Dates 12 Pieces,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0275,SFG,FG,FG
Royal Traditions Almond 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Traditions Almonds Salted 100g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0261,SFG,FG,FG
Royal Traditions Cashew 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Traditions Cashew Black Pepper 100g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0024,SFG,FG,FG
Royal Traditions Cashew Salted 100g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Royal Traditions Cranberries Chatpata 100g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Traditions Mahotsav Dry Fruits 500gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Traditions Plain Raisins 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Traditions Tyohar 400gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal Traditions Utsav 300g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Royal delight Medjoul Dates 400gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
SHAHI UPHAR 300gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
SHUBHKAMANYEN 180gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
SIGNATURE COLLECTIONS 600gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
SPAR BANDHAN FESTIVE DRY FRUIT BOX 800G,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
SPAR SELECT ALMONDS 500G,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
SUPREME 800gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Salt and Pepper Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0278,SFG
Salt and Pepper Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0278,SFG,FG,FG
Salted Premium Nut Mix,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0279,SFG
Salted Premium Nut Mix,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0279,SFG,FG,FG
Sea Salt Dry - Roasted Macadamia Nuts- Size 1,cfpl,Flavouring (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Seed Mix,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0280,SFG
Seed Mix,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0280,SFG,FG,FG
Seed Trail Mix,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0281,SFG
Seed Trail Mix,cfpl,Sorting + Roasting (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0281,SFG,FG,FG
Seedy Sheid- Lime Chilly 33gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0282,SFG
Seedy Sheid- Lime Chilly 33gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0282,SFG,FG,FG
Seedy Sheid- Lime Chilly 35gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0282,SFG
Seedy Sheid- Lime Chilly 35gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0282,SFG,FG,FG
Single Safavi Stuffed Dates,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,De-Seeding + Stuffing,RM,RM,SFG0283,SFG
Single Safavi Stuffed Dates,cfpl,De-seeding + Stuffing + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0283,SFG,FG,FG
Smoked Almonds,cfpl,Flavouring (Bulk Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0284,SFG,FG,FG
Smoked Almonds Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0284,SFG
Smoked Almonds Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0284,SFG,FG,FG
Smokey BBQ Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0285,SFG
Smokey BBQ Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0285,SFG,FG,FG
Smokey BBQ Coated Peanuts 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0286,SFG
Smokey BBQ Coated Peanuts 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0286,SFG,FG,FG
Smokey BBQ Coated Peanuts 70gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0286,SFG
Smokey BBQ Coated Peanuts 70gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0286,SFG,FG,FG
Snack Amor Diwali Gift Box 400gm,cfpl,Sorting + Roasting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snack Amor Popcorn Makhana 55 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0287,SFG
Snack Amor Popcorn Makhana 55 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0287,SFG,FG,FG
Snack Amor Roasted Cashew 170 Gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0340,SFG,FG,FG
Snackania Afghan Black Raisins 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Afghan Green Raisins 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Ajwa Dates 480g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania American Almonds 480g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Blueberry 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania California Pistachio Roasted & Salted 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0288,SFG
Snackania California Pistachio Roasted & Salted 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0288,SFG,FG,FG
Snackania Cashew 480g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Chile Walnut Kernel 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Cocktail Mix 480g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0289,SFG
Snackania Cocktail Mix 480g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0289,SFG,FG,FG
Snackania Cranberry 230g,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Fard Dates Premium 480g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Green Chilli Cashew 230g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Irani Pistachio Roasted & Salted 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0290,SFG
Snackania Irani Pistachio Roasted & Salted 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0290,SFG,FG,FG
Snackania Khalas Dates 480g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snackania Safavi Dates 480g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Snacktive Green Chilli Cashew 250 gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0291,SFG
Snacktive Green Chilli Cashew 250 gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0291,SFG,FG,FG
